_id,timestamp,device_id,call_type,call_duration,trace
38,1762161594942.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,0,7f49ba336e703b2da35b7eda3ad303bb28c5e762
39,1762162155799.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,0,2c5a017178bdfa270efbc6ed7f4b61ae94f9ace5
40,1762162170141.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,0,2c5a017178bdfa270efbc6ed7f4b61ae94f9ace5
41,1762187712072.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,34,066933900033b83e4b766495e4294379a6c74253
42,1762202522935.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,0,f4b67774b51ff9f244a2f40528785e780743c2e5
43,1762269859893.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,0,f4b67774b51ff9f244a2f40528785e780743c2e5
44,1762335846493.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,0,7f49ba336e703b2da35b7eda3ad303bb28c5e762
45,1762357576881.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,120,7f49ba336e703b2da35b7eda3ad303bb28c5e762
46,1762358434362.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2,f4b67774b51ff9f244a2f40528785e780743c2e5
47,1762358696937.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,770,f4b67774b51ff9f244a2f40528785e780743c2e5
48,1762361879344.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,139,f8784ffe8570c4143933fd022e4c5a65235c68d6
